bitstring,phase_int,phase_frac,counts,n_count
11001000,200,0.78125000,6,8
01001011,75,0.29296875,6,8
11010110,214,0.83593750,6,8
11101001,233,0.91015625,6,8
01101110,110,0.42968750,6,8
01000011,67,0.26171875,6,8
11101111,239,0.93359375,6,8
10101110,174,0.67968750,6,8
10100100,164,0.64062500,6,8
10001010,138,0.53906250,6,8
10011110,158,0.61718750,6,8
11101110,238,0.92968750,6,8
01011111,95,0.37109375,6,8
00101101,45,0.17578125,6,8
00001011,11,0.04296875,6,8
01110011,115,0.44921875,6,8
11100111,231,0.90234375,6,8
01000001,65,0.25390625,6,8
01101010,106,0.41406250,6,8
01100011,99,0.38671875,6,8
00000100,4,0.01562500,6,8
00110010,50,0.19531250,6,8
01011100,92,0.35937500,6,8
00011100,28,0.10937500,6,8
00000110,6,0.02343750,6,8
11111110,254,0.99218750,6,8
01000101,69,0.26953125,5,8
11101101,237,0.92578125,5,8
11001011,203,0.79296875,5,8
01000111,71,0.27734375,5,8
11000110,198,0.77343750,5,8
00111111,63,0.24609375,5,8
11000111,199,0.77734375,5,8
11011110,222,0.86718750,5,8
10101100,172,0.67187500,5,8
01111101,125,0.48828125,5,8
00010101,21,0.08203125,5,8
01001110,78,0.30468750,5,8
10110011,179,0.69921875,5,8
10000001,129,0.50390625,5,8
01011001,89,0.34765625,5,8
01001010,74,0.28906250,5,8
10101001,169,0.66015625,5,8
11100110,230,0.89843750,5,8
01110110,118,0.46093750,5,8
01101000,104,0.40625000,5,8
00100011,35,0.13671875,4,8
11000010,194,0.75781250,4,8
01001000,72,0.28125000,4,8
10110101,181,0.70703125,4,8
01101101,109,0.42578125,4,8
10000111,135,0.52734375,4,8
01011101,93,0.36328125,4,8
11000101,197,0.76953125,4,8
01110111,119,0.46484375,4,8
11011001,217,0.84765625,4,8
01100110,102,0.39843750,4,8
01011110,94,0.36718750,4,8
01010101,85,0.33203125,4,8
01011011,91,0.35546875,4,8
00100111,39,0.15234375,4,8
11110111,247,0.96484375,4,8
10010111,151,0.58984375,4,8
11010101,213,0.83203125,4,8
01110101,117,0.45703125,4,8
00100110,38,0.14843750,4,8
10110111,183,0.71484375,3,8
10101111,175,0.68359375,3,8
11110110,246,0.96093750,3,8
10110110,182,0.71093750,3,8
10100111,167,0.65234375,3,8
11001110,206,0.80468750,3,8
00000111,7,0.02734375,3,8
10001111,143,0.55859375,3,8
01101011,107,0.41796875,2,8
10101101,173,0.67578125,2,8
11111111,255,0.99609375,2,8
01011010,90,0.35156250,2,8
01101111,111,0.43359375,2,8
01100111,103,0.40234375,2,8
00011011,27,0.10546875,2,8
00101000,40,0.15625000,2,8
10101011,171,0.66796875,2,8
